z,charge,chargesum
0.000000000000000000e+00,3.512849794779407246e-08,-9.788639085857982691e-05
7.039139980729185175e-02,-3.512849794633155097e-08,-9.788886360272338607e-05
1.407827996145837035e-01,-0.000000000000000000e+00,-9.788886360272338607e-05
2.111741994218755691e-01,-0.000000000000000000e+00,-9.788886360272338607e-05
2.815655992291674070e-01,-1.756424897292202190e-08,-9.789009997479516565e-05
3.519569990364592726e-01,-0.000000000000000000e+00,-9.789009997479516565e-05
4.223483988437511383e-01,1.756424897350703116e-07,-9.787773625407707168e-05
4.927397986510430039e-01,-0.000000000000000000e+00,-9.787773625407707168e-05
5.631311984583348140e-01,-0.000000000000000000e+00,-9.787773625407707168e-05
6.335225982656267352e-01,-1.756424897350703116e-07,-9.789009997479516565e-05
7.039139980729185453e-01,-0.000000000000000000e+00,-9.789009997479516565e-05
7.743053978802103554e-01,-0.000000000000000000e+00,-9.789009997479516565e-05
8.446967976875022766e-01,-0.000000000000000000e+00,-9.789009997479516565e-05
9.150881974947941977e-01,-1.756424897389703623e-08,-9.789133634686699944e-05
9.854795973020860078e-01,-0.000000000000000000e+00,-9.789133634686699944e-05
1.055870997109377818e+00,1.756424897292202190e-08,-9.789009997479523341e-05
1.126262396916669628e+00,-0.000000000000000000e+00,-9.789009997479523341e-05
1.196653796723961660e+00,-0.000000000000000000e+00,-9.789009997479523341e-05
1.267045196531253470e+00,-0.000000000000000000e+00,-9.789009997479523341e-05
1.337436596338545280e+00,-0.000000000000000000e+00,-9.789009997479523341e-05
1.407827996145837091e+00,-0.000000000000000000e+00,-9.789009997479523341e-05
1.478219395953129123e+00,-1.756424897389703623e-08,-9.789133634686706721e-05
1.548610795760420711e+00,-0.000000000000000000e+00,-9.789133634686706721e-05
1.619002195567712521e+00,1.756424897389703623e-08,-9.789009997479523341e-05
1.689393595375004553e+00,-0.000000000000000000e+00,-9.789009997479523341e-05
1.759784995182296363e+00,-1.756424897389703623e-08,-9.789133634686706721e-05
1.830176394989588395e+00,-0.000000000000000000e+00,-9.789133634686706721e-05
1.900567794796879983e+00,-0.000000000000000000e+00,-9.789133634686706721e-05
1.970959194604172016e+00,-1.756424897194701088e-08,-9.789257271893876547e-05
2.041350594411464048e+00,-1.756424897340952907e-08,-9.789380909101057216e-05
2.111741994218755636e+00,-1.756424896999698883e-08,-9.789504546308212135e-05
2.182133394026047668e+00,-1.756424897389703623e-08,-9.789628183515396869e-05
2.252524793833339256e+00,-0.000000000000000000e+00,-9.789628183515396869e-05
2.322916193640631288e+00,-0.000000000000000000e+00,-9.789628183515396869e-05
2.393307593447923320e+00,-0.000000000000000000e+00,-9.789628183515396869e-05
2.463698993255214909e+00,1.756424897389703623e-08,-9.789504546308212135e-05
2.534090393062506941e+00,-0.000000000000000000e+00,-9.789504546308212135e-05
2.604481792869798529e+00,-0.000000000000000000e+00,-9.789504546308212135e-05
2.674873192677090561e+00,1.756424897389703623e-08,-9.789380909101028756e-05
2.745264592484382593e+00,-0.000000000000000000e+00,-9.789380909101028756e-05
2.815655992291674181e+00,1.756424897340952907e-08,-9.789257271893849442e-05
2.886047392098965769e+00,-0.000000000000000000e+00,-9.789257271893849442e-05
2.956438791906258245e+00,-0.000000000000000000e+00,-9.789257271893849442e-05
3.026830191713549834e+00,-0.000000000000000000e+00,-9.789257271893849442e-05
3.097221591520841422e+00,4.875058405127131133e-19,-9.789257271893845376e-05
3.167612991328133454e+00,-0.000000000000000000e+00,-9.789257271893845376e-05
3.238004391135425042e+00,-1.756424897292202190e-08,-9.789380909101021979e-05
3.308395790942717518e+00,-0.000000000000000000e+00,-9.789380909101021979e-05
3.378787190750009106e+00,1.580782407650733294e-08,-9.789269635614557480e-05
3.449178590557300694e+00,-3.512849794779407246e-08,-9.789516910028924239e-05
3.519569990364592726e+00,-1.756424897292202190e-08,-9.789640547236100842e-05
3.589961390171884759e+00,-0.000000000000000000e+00,-9.789640547236100842e-05
3.660352789979176791e+00,-1.170949931593135666e-09,-9.789648789716579643e-05
3.730744189786468379e+00,-3.629944787792468870e-08,-9.789904306611415716e-05
3.801135589593759967e+00,-1.756424897340952907e-08,-9.790027943818596385e-05
3.871526989401052443e+00,1.756424897389703499e-09,-9.790015580097877505e-05
3.941918389208344031e+00,-2.341899863170021038e-08,-9.790180429707454892e-05
4.012309789015635175e+00,-0.000000000000000000e+00,-9.790180429707454892e-05
4.082701188822928096e+00,-0.000000000000000000e+00,-9.790180429707454892e-05
4.153092588630219240e+00,-0.000000000000000000e+00,-9.790180429707454892e-05
4.223483988437511272e+00,-0.000000000000000000e+00,-9.790180429707454892e-05
4.293875388244803304e+00,-0.000000000000000000e+00,-9.790180429707454892e-05
4.364266788052095336e+00,-0.000000000000000000e+00,-9.790180429707454892e-05
4.434658187859386480e+00,9.750116810254262267e-19,-9.790180429707448116e-05
4.505049587666678512e+00,1.580782407611732588e-07,-9.789067694842822098e-05
4.575440987473970544e+00,-3.512849794701406232e-07,-9.791540438986440892e-05
4.645832387281262577e+00,5.854749657640674518e-09,-9.791499226584048240e-05
4.716223787088554609e+00,-1.756424897389703623e-08,-9.791622863791231619e-05
4.786615186895846641e+00,-1.756424897306827604e-07,-9.792859235863009845e-05
4.857006586703137785e+00,-0.000000000000000000e+00,-9.792859235863009845e-05
4.927397986510429817e+00,-0.000000000000000000e+00,-9.792859235863009845e-05
4.997789386317721849e+00,-1.756424897350703116e-07,-9.794095607934819243e-05
5.068180786125013881e+00,1.756424897340952907e-08,-9.793971970727638574e-05
5.138572185932305025e+00,-1.756424897194701088e-08,-9.794095607934808401e-05
5.208963585739597058e+00,-0.000000000000000000e+00,-9.794095607934808401e-05
5.279354985546889978e+00,1.756424897389703623e-08,-9.793971970727625021e-05
5.349746385354181122e+00,-0.000000000000000000e+00,-9.793971970727625021e-05
5.420137785161473154e+00,-0.000000000000000000e+00,-9.793971970727625021e-05
5.490529184968765186e+00,1.756424897194701088e-08,-9.793848333520455195e-05
5.560920584776056330e+00,1.756424897340952907e-08,-9.793724696313274526e-05
5.631311984583348362e+00,3.512849794681905813e-08,-9.793477421898914544e-05
5.701703384390640394e+00,-0.000000000000000000e+00,-9.793477421898914544e-05
5.772094784197931538e+00,-0.000000000000000000e+00,-9.793477421898914544e-05
5.842486184005223571e+00,-0.000000000000000000e+00,-9.793477421898914544e-05
